generation,GD,IGD,HV,problem
1,326.381362498403,97.27029961630487,0.0,dtlz1
2,297.75402787101586,97.27029961630487,0.0,dtlz1
3,298.25699714853056,97.27029961630487,0.0,dtlz1
4,286.1723268339008,97.27029961630487,0.0,dtlz1
5,268.7396850989379,97.27029961630487,0.0,dtlz1
6,252.71666009324133,97.27029961630487,0.0,dtlz1
7,254.60483309953517,88.40546070490737,0.0,dtlz1
8,249.40587600773375,53.13270912363638,0.0,dtlz1
9,247.731754323359,53.13270912363638,0.0,dtlz1
10,235.64358874998246,53.13270912363638,0.0,dtlz1
11,231.17894473738292,53.13270912363638,0.0,dtlz1
12,229.5140085445368,33.27542310633764,0.0,dtlz1
13,218.8180834910363,33.27542310633764,0.0,dtlz1
14,201.04776166617955,33.27542310633764,0.0,dtlz1
15,189.64247338369958,33.27542310633764,0.0,dtlz1
16,186.78104947653617,33.27542310633764,0.0,dtlz1
17,178.33719871332676,33.27542310633764,0.0,dtlz1
18,181.16809916174086,33.27542310633764,0.0,dtlz1
19,171.38242741750295,33.27542310633764,0.0,dtlz1
20,162.74083831919302,33.27542310633764,0.0,dtlz1
21,152.8289011291343,33.27542310633764,0.0,dtlz1
22,155.31919031129925,33.27542310633764,0.0,dtlz1
23,154.6895915860046,33.27542310633764,0.0,dtlz1
24,150.11031940044873,33.27542310633764,0.0,dtlz1
25,143.8200443029941,33.27542310633764,0.0,dtlz1
26,139.23802318014938,33.27542310633764,0.0,dtlz1
27,131.2729389000134,17.886008390780823,0.0,dtlz1
28,140.75602243509766,17.886008390780823,0.0,dtlz1
29,144.43198063718634,17.886008390780823,0.0,dtlz1
30,151.81957203416567,17.886008390780823,0.0,dtlz1
31,154.13054216455603,17.886008390780823,0.0,dtlz1
32,160.7790576701368,17.886008390780823,0.0,dtlz1
33,153.0824009663305,17.886008390780823,0.0,dtlz1
34,154.61067494302796,17.886008390780823,0.0,dtlz1
35,155.21594843334694,17.886008390780823,0.0,dtlz1
36,153.1361929660856,17.886008390780823,0.0,dtlz1
37,142.36676568678132,17.886008390780823,0.0,dtlz1
38,137.00997211867468,17.886008390780823,0.0,dtlz1
39,136.1518759528601,17.886008390780823,0.0,dtlz1
40,137.29081261566955,17.886008390780823,0.0,dtlz1
41,126.8424127616139,17.886008390780823,0.0,dtlz1
42,124.77072881813034,17.886008390780823,0.0,dtlz1
43,128.5859137413916,17.886008390780823,0.0,dtlz1
44,119.00546801851767,17.886008390780823,0.0,dtlz1
45,114.52388252978658,17.886008390780823,0.0,dtlz1
46,105.44843188447724,17.886008390780823,0.0,dtlz1
47,102.35752027026791,17.886008390780823,0.0,dtlz1
48,103.58357715403676,17.886008390780823,0.0,dtlz1
49,104.68620347267257,17.886008390780823,0.0,dtlz1
50,105.42077045555487,17.886008390780823,0.0,dtlz1
51,99.60409837628099,17.886008390780823,0.0,dtlz1
52,98.83158509172829,17.886008390780823,0.0,dtlz1
53,98.73653051307909,16.966271822517836,0.0,dtlz1
54,95.69120496846737,16.966271822517836,0.0,dtlz1
55,94.7593714257344,16.966271822517836,0.0,dtlz1
56,94.06580180034051,16.966271822517836,0.0,dtlz1
57,89.09191962557807,16.966271822517836,0.0,dtlz1
58,87.58712533473528,16.966271822517836,0.0,dtlz1
59,82.94892878422776,16.966271822517836,0.0,dtlz1
60,99.05977221886978,16.966271822517836,0.0,dtlz1
61,93.15850063113815,16.966271822517836,0.0,dtlz1
62,89.0513814651229,16.966271822517836,0.0,dtlz1
63,87.00433558080651,16.966271822517836,0.0,dtlz1
64,85.43030132451464,9.295423418379213,0.0,dtlz1
65,83.76395860421397,9.295423418379213,0.0,dtlz1
66,87.36188517017858,9.295423418379213,0.0,dtlz1
67,78.0582604661619,9.295423418379213,0.0,dtlz1
68,77.54703945881651,9.295423418379213,0.0,dtlz1
69,78.8599614528406,9.295423418379213,0.0,dtlz1
70,72.41061294297019,9.295423418379213,0.0,dtlz1
71,78.88625111107719,9.295423418379213,0.0,dtlz1
72,77.85631553005813,9.295423418379213,0.0,dtlz1
73,73.8635090773318,9.295423418379213,0.0,dtlz1
74,66.90112055746067,9.295423418379213,0.0,dtlz1
75,74.46594505394263,9.295423418379213,0.0,dtlz1
76,73.53019270801445,9.295423418379213,0.0,dtlz1
77,69.13082166137065,9.295423418379213,0.0,dtlz1
78,69.22662030072387,9.295423418379213,0.0,dtlz1
79,77.4179413949566,9.295423418379213,0.0,dtlz1
80,85.08296781621058,9.295423418379213,0.0,dtlz1
81,89.24768245175464,9.295423418379213,0.0,dtlz1
82,91.1541555036715,9.295423418379213,0.0,dtlz1
83,88.01772658259937,9.295423418379213,0.0,dtlz1
84,88.03031241968516,9.295423418379213,0.0,dtlz1
85,102.36355824152187,9.295423418379213,0.0,dtlz1
86,109.32804926278887,9.295423418379213,0.0,dtlz1
87,110.6021449172249,9.295423418379213,0.0,dtlz1
88,102.07130088693191,9.295423418379213,0.0,dtlz1
89,102.34278919014358,9.295423418379213,0.0,dtlz1
