Iteration,r,h,f1,f2,managerBest_idx,customerBest_idx
1,2.01296,48.0654,3375.18,388.141,1,0
1,19.9969,99.6193,57359.2,-124147,1,0
1,19.703,90.2931,52064.8,-109121,1,0
1,18.5948,47.1339,29797.8,-50199.7,1,0
1,11.9142,56.9915,20343.3,-24414.8,1,0
1,17.7873,46.3985,27900.4,-45118.1,1,0
1,12.0543,27.526,12241.7,-11565.5,1,0
1,19.8005,86.3026,50501.2,-105298,1,0
1,19.5482,83.713,48561.5,-99497.9,1,0
1,19.8552,98.4206,56332.6,-120894,1,0
1,19.9606,68.5829,42643.1,-84845,1,0
1,17.9925,40.3186,25720.4,-40005.4,1,0
1,16.3411,42.0287,23474,-34257.9,1,0
1,2.68176,47.6092,4177.76,-75.6745,1,0
1,17.5314,39.961,24748.5,-37584.9,1,0
1,18.9706,64.1625,38159.2,-71542.6,1,0
1,18.4673,62.4587,36212.9,-65918.8,1,0
1,19.9726,66.1443,41526,-81891.7,1,0
1,4.52112,51.5465,6972.67,-2310.1,1,0
1,19.6193,85.4812,49584.6,-102368,1,0
1,18.5635,41.102,27097.2,-43497.1,1,0
1,14.1858,35.9069,17743.2,-21700.3,1,0
1,18.9368,62.246,37222.7,-69124.9,1,0
1,12.1042,32.24,13646.9,-13839.5,1,0
1,18.8789,49.4311,31385.9,-54348.1,1,0
1,19.6851,72.8704,43929,-87710.6,1,0
1,19.6874,93.8481,53666.2,-113276,1,0
1,15.4137,38.9238,20734.2,-28052.3,1,0
1,19.3035,82.6932,47390.8,-95803.2,1,0
1,19.9254,95.3314,55110.9,-117905,1,0
1,19.9017,47.9054,32796.3,-58609.3,1,0
1,8.09646,43.1927,10784.3,-7895.09,1,0
1,13.1125,37.292,16572.8,-19143.7,1,0
1,13.6541,54.331,22872,-30821.7,1,0
1,19.8269,73.4889,44593.5,-89757.4,1,0
1,10.5931,48.9259,15855.6,-16247.9,1,0
1,18.499,50.3397,31005,-53120.1,1,0
1,13.3757,53.8105,22174.3,-29244.8,1,0
1,12.6752,33.0233,14648,-15667.8,1,0
1,7.35113,39.4146,9100.15,-5691.37,1,0
2,2.03069,22.5455,2175.9,707.924,1,0
2,19.9703,99.9981,57449.7,-124288,1,0
2,5.98979,35.3219,6830.37,-2981.23,1,0
2,9.73857,34.0475,11047.1,-9144.4,1,0
2,19.9509,64.9747,40922.1,-80249.5,1,0
2,19.8317,70.9949,43440.8,-86719.4,1,0
2,3.8967,25.023,3655.22,-193.662,1,0
2,19.9682,96.0767,55597.9,-119350,1,0
2,15.4093,45.0304,22944,-32590.7,1,0
2,12.2023,53.1061,19776.9,-23841.7,1,0
2,18.0105,45.1331,27795.7,-44993.4,1,0
2,19.9353,80.3255,48093.9,-99287.9,1,0
2,19.809,85.5771,50187.9,-104496,1,0
2,19.9458,54.0853,35791.8,-66597.7,1,0
2,16.6649,47.4748,26184.9,-40420.8,1,0
2,16.6316,71.4897,35532.5,-61124.6,1,0
2,17.9374,53.7703,31306.5,-53351.2,1,0
2,19.9479,58.0067,37639.5,-71513.9,1,0
2,14.7537,41.9829,20723.2,-27709.6,1,0
2,13.3885,38.5093,17371.7,-20686.1,1,0
2,18.5347,48.3738,30219.8,-51207.2,1,0
2,19.7995,77.748,46507.3,-94751.9,1,0
2,9.23121,43.4691,12462.6,-10637.2,1,0
2,18.9971,61.6896,37116.1,-68942,1,0
2,18.444,57.2697,33903.4,-60204.7,1,0
2,18.25,55.0688,32527.4,-56620.8,1,0
2,19.8438,62.8152,39647.9,-76707.6,1,0
2,19.8064,73.7129,44643.4,-89845.9,1,0
2,19.7948,80.4863,47771.5,-98077.1,1,0
2,18.2139,47.6522,29266.7,-48663.5,1,0
2,19.4396,63.7155,39088,-74643.3,1,0
2,19.7757,91.5983,52895.2,-111539,1,0
2,19.7688,95.6334,54753.3,-116414,1,0
2,16.4343,42.1387,23680.8,-34754.6,1,0
2,15.6781,51.1149,25673.7,-38471.4,1,0
2,16.8705,53.0614,28798.1,-46444.6,1,0
2,19.7946,76.4867,45905.5,-93152,1,0
2,19.5787,49.436,32837.4,-58533.7,1,0
2,10.9637,42.8433,14899.7,-15178.7,1,0
2,19.6324,87.756,50675.5,-105261,1,0
3,19.9778,99.8637,57411.2,-124213,0,1
3,2.03147,20.6948,2087.8,731.695,0,1
3,11.8234,46.2667,17182.9,-19319.1,0,1
3,18.8843,53.9937,33427.2,-59491.8,0,1
3,11.5533,36.5834,14103.7,-14340.8,0,1
3,18.5782,49.5388,30817.5,-52716.1,0,1
3,15.5478,43.3661,22582.2,-31933.3,0,1
3,14.9804,52.8586,24945,-36266,0,1
3,19.9486,66.7866,41768,-82495.9,0,1
3,7.65774,42.4736,10045.3,-6824.75,0,1
3,19.8863,89.0442,52040.5,-109628,0,1
3,16.7742,35.2082,21545.1,-30122.7,0,1
3,19.8589,84.8126,49977.4,-104081,0,1
3,7.87059,29.3842,7908.78,-4718.46,0,1
3,13.1245,44.307,18760,-22976.5,0,1
3,19.9612,96.9427,55982.8,-120350,0,1
3,12.2439,55.4972,20542.6,-25137.2,0,1
3,16.0121,52.1988,26734.4,-41044.5,0,1
3,6.87156,28.3072,6695.69,-3199.1,0,1
3,19.5083,62.9631,38908.4,-74279.4,0,1
3,19.8877,80.9354,48244.9,-99567,0,1
3,19.9054,69.4911,42927.9,-85501.2,0,1
3,19.8738,76.072,45928,-93391.8,0,1
3,19.9492,63.7493,40341.9,-78703.5,0,1
3,3.24775,23.098,3016.06,234.6,0,1
3,18.7594,59.8973,35766.8,-65220.7,0,1
3,18.4044,59.3541,34719.4,-62160.2,0,1
3,19.9219,72.9917,44613.5,-90008.9,0,1
3,16.1533,58.4226,29383.8,-46890.9,0,1
3,4.76187,28.4331,4724.44,-1025.49,0,1
3,19.9777,99.8195,57390,-124157,0,1
3,19.9388,63.9207,40397,-78834.6,0,1
3,18.0202,46.0924,28221.7,-46021.8,0,1
3,5.70958,26.4796,5330.37,-1711.87,0,1
3,10.2575,32.066,11229,-9599.25,0,1
3,19.9433,91.9732,53589.8,-113922,0,1
3,19.9211,89.944,52568.6,-111137,0,1
3,19.8786,73.9793,44960.9,-90839.7,0,1
3,17.516,68.9201,36673.1,-65430.1,0,1
3,12.8871,48.953,19777.4,-24541,0,1
4,19.9793,99.7505,57362.9,-124091,0,1
4,2.01397,22.4811,2162.37,713.533,0,1
4,19.0132,50.6403,32204,-56511.8,0,1
4,5.7889,27.2091,5500.85,-1864.55,0,1
4,18.8911,56.8738,34723.7,-62763.9,0,1
4,11.1377,33.9085,12821.3,-12214.6,0,1
4,19.9311,82.082,48907.1,-101438,0,1
4,10.2304,31.8246,11137.3,-9464.05,0,1
4,12.8618,40.4506,17156.3,-20022.3,0,1
4,19.8507,86.3629,50678.4,-105913,0,1
4,12.3037,34.3498,14524.8,-15336,0,1
4,19.7752,81.1131,48008.2,-98651.6,0,1
4,14.6944,38.1329,19290.3,-24867.4,0,1
4,19.6664,95.4549,54344.7,-114984,0,1
4,19.1554,78.0374,44866.7,-88956.6,0,1
4,18.4893,40.4316,26668.5,-42422,0,1
4,18.9304,71.5518,41358.3,-79554.3,0,1
4,18.1907,31.469,22284.6,-31713.9,0,1
4,19.6003,89.3282,51305.6,-106811,0,1
4,8.95717,30.8588,9403.1,-6778.06,0,1
4,14.0875,36.755,17876,-21915.6,0,1
4,18.6863,49.9279,31209.8,-53769.4,0,1
4,18.9477,60.3311,36393.5,-67045.9,0,1
4,18.3762,42.3251,27282.5,-43901.5,0,1
4,6.06626,39.9101,7571.54,-3613.98,0,1
4,18.9292,33.0598,24187.6,-36214.9,0,1
4,14.8806,43.0071,21296.3,-28917.8,0,1
4,19.8003,91.3108,52837.1,-111465,0,1
4,19.8725,94.9871,54781.4,-116848,0,1
